track_id,cam_id,start_frame,end_frame,start_ms,end_ms,start_common_clock_ms,end_common_clock_ms,n_frames,class_mode,mean_conf,median_conf,median_w,median_h,max_area_px,pct_edge_touch,pct_blurry,n_large_box_frames,n_non_edge_frames,n_sharp_frames,duration_ms,usable_track,best_frame_idx,best_source_timestamp_ms,best_common_clock_ms
172,garage,1639,1658,54687.96666666667,55321.933333333334,54687.96666666667,55321.933333333334,20,2,0.8108257606625557,0.8742566406726837,96.0,169.5,23408,0.0,0.44999999999999996,14,20,11,633.9666666666672,True,1655,55221.833333333336,55221.833333333336
176,garage,1654,1672,55188.46666666667,55789.06666666667,55188.46666666667,55789.06666666667,19,2,0.6337690886698271,0.6804887056350708,175.0,156.0,30264,0.0,0.0,19,19,19,600.6000000000058,True,1670,55722.333333333336,55722.333333333336
727,garage,7053,7071,235335.1,235935.7,235335.1,235935.7,19,2,0.7505820064168227,0.806610107421875,89.0,168.0,24252,0.0,0.3157894736842105,13,19,13,600.6000000000058,True,7061,235602.03333333333,235602.03333333333
308,garage,3098,3118,103369.93333333333,104037.26666666666,103369.93333333333,104037.26666666666,18,2,0.8159243414799372,0.8825415670871735,183.5,157.0,31641,0.1111111111111111,0.6666666666666667,18,16,6,667.3333333333285,True,3101,103470.03333333334,103470.03333333334
800,garage,7594,7611,253386.46666666667,253953.7,253386.46666666667,253953.7,18,2,0.7026711735460494,0.697564572095871,107.5,177.0,23318,0.0,0.33333333333333337,14,18,12,567.2333333333372,True,7603,253686.76666666666,253686.76666666666
700,garage,6499,6515,216849.96666666667,217383.83333333334,216849.96666666667,217383.83333333334,17,2,0.8282360609839944,0.8956435918807983,73.0,156.0,19968,0.0,0.8235294117647058,10,17,3,533.8666666666686,True,6512,217283.73333333334,217283.73333333334
128,garage,1511,1526,50417.03333333333,50917.53333333334,50417.03333333333,50917.53333333334,16,2,0.8087563402950764,0.8849526047706604,105.0,153.5,22379,0.0,0.8125,12,16,3,500.5000000000073,True,1520,50717.333333333336,50717.333333333336
639,garage,6021,6036,200900.7,201401.2,200900.7,201401.2,15,2,0.7079719165960948,0.7232868671417236,62.0,197.0,28280,0.0,0.0,8,15,15,500.5,True,6028,201134.2666666667,201134.2666666667
287,garage,2819,2832,94060.63333333335,94494.4,94060.63333333335,94494.4,14,2,0.6153816325323922,0.6250477731227875,279.5,158.5,48638,0.0,0.0,14,14,14,433.76666666664823,True,2829,94394.3,94394.3
254,garage,2588,2602,86352.93333333333,86820.06666666668,86352.93333333333,86820.06666666668,14,2,0.5806536717074258,0.5793327689170837,89.5,195.5,38048,0.0,0.4285714285714286,11,14,8,467.13333333334594,True,2593,86519.76666666666,86519.76666666666
203,garage,1829,1842,61027.63333333333,61461.4,61027.63333333333,61461.4,14,2,0.7682413671697889,0.779977023601532,97.5,144.5,17402,0.0,0.0714285714285714,11,14,13,433.76666666667006,True,1833,61161.100000000006,61161.100000000006
